Rank,Release Group,Worldwide,Domestic,%,Foreign,%
408,Last Year at Marienbad,"$144,492","$144,492",100%,-,-
409,Shelter,"$142,666","$142,666",100%,-,-
410,Flow: For Love of Water,"$142,569","$142,569",100%,-,-
411,Baghead,"$140,106","$140,106",100%,-,-
412,Hounddog,"$131,961","$131,961",100%,-,-
413,Ballerina,"$131,460","$114,507",87.1%,"$16,953",12.9%
414,Proud American,"$131,357","$131,357",100%,-,-
415,Love Comes Lately,"$127,958","$78,079",61%,"$49,879",39%
416,The First Saturday in May,"$124,294","$124,294",100%,-,-
417,Were the World Mine,"$123,789","$123,789",100%,-,-
418,Momma's Man,"$123,385","$100,435",81.4%,"$22,950",18.6%
419,The Grand,"$115,879","$115,879",100%,-,-
420,Berlin,"$114,860","$33,231",28.9%,"$81,629",71.1%
421,Oh My God,"$113,792","$38,244",33.6%,"$75,548",66.4%
422,Absurdistan,"$113,269","$39,683",35%,"$73,586",65%
423,Trumbo,"$109,057","$109,057",100%,-,-
424,Sleep Dealer,"$107,559","$80,136",74.5%,"$27,423",25.5%
425,The Alphabet Killer,"$106,596","$29,784",27.9%,"$76,812",72.1%
426,A Jihad for Love,"$105,651","$105,651",100%,-,-
427,Another Gay Sequel: Gays Gone Wild!,"$104,828","$104,828",100%,-,-
428,Roman Polanski: Wanted and Desired,"$100,458","$59,192",58.9%,"$41,266",41.1%
429,Purple Noon,"$98,311",-,-,"$98,311",100%
430,Kabluey,"$96,663","$83,506",86.4%,"$13,157",13.6%
431,Louise Bourgeois,"$96,443","$95,865",99.4%,$578,0.6%
432,Greetings from the Shore,"$96,314","$96,314",100%,-,-
433,The Pool,"$95,102","$95,102",100%,-,-
434,Bicycle Thieves 2008 Re-release,"$94,685","$36,818",38.9%,"$57,867",61.1%
435,The Unforeseen,"$90,287","$90,287",100%,-,-
436,Pray the Devil Back to Hell,"$90,066","$90,066",100%,-,-
437,Little Chenier,"$87,939","$87,939",100%,-,-
438,Woman on the Beach 2008 Re-release,"$87,635","$23,686",27%,"$63,949",73%
439,Deal,"$85,076","$61,626",72.4%,"$23,450",27.6%
440,"Me & You, Us, Forever","$84,093","$84,093",100%,-,-
441,Save Me,"$83,397","$83,397",100%,-,-
442,Maria Stuarda at La Scala,"$83,214","$83,214",100%,-,-
443,Praying with Lior,"$82,553","$82,553",100%,-,-
444,Humboldt County,"$82,357","$82,357",100%,-,-
445,Patti Smith: Dream of Life,"$81,113","$30,918",38.1%,"$50,195",61.9%
446,Il trittico dell'amore,"$80,374","$80,374",100%,-,-
447,Ballast,"$79,710","$77,556",97.3%,"$2,154",2.7%
448,Cover,"$79,436","$79,436",100%,-,-
449,Ping Pong Playa,"$77,907","$77,907",100%,-,-
450,Finding Amanda,"$77,410","$57,297",74%,"$20,113",26%
451,America the Beautiful,"$76,173","$76,173",100%,-,-
452,August Evening,"$74,759","$74,759",100%,-,-
453,Shoot Down,"$74,421","$74,421",100%,-,-
454,A Four Letter Word,"$73,445","$72,568",98.8%,$877,1.2%
455,Body of War,"$71,716","$71,716",100%,-,-
456,Big Man Japan 2008 Re-release,"$70,681","$40,796",57.7%,"$29,885",42.3%
457,The Business of Being Born,"$69,991","$69,991",100%,-,-
458,Take Out,"$69,816","$69,816",100%,-,-
459,Dark Matter,"$69,379","$30,591",44.1%,"$38,788",55.9%
460,Happy Valley,"$67,665","$67,665",100%,-,-
461,Allah Made Me Funny: Live in Concert,"$66,903","$66,903",100%,-,-
462,The Wild Child,"$65,051","$65,051",100%,-,-
463,Expired,"$65,003","$29,796",45.8%,"$35,207",54.2%
464,Bloodline,"$64,698","$64,698",100%,-,-
465,Monsieur Verdoux,"$64,636","$64,636",100%,-,-
466,Beautiful Losers,"$64,064","$56,386",88%,"$7,678",12%
467,A Plumm Summer,"$63,521","$63,521",100%,-,-
468,The Order of Myths,"$62,645","$62,645",100%,-,-
469,The Elephant King,"$61,122","$22,251",36.4%,"$38,871",63.6%
470,Boogie Man: The Lee Atwater Story,"$60,332","$60,332",100%,-,-
471,What We Do Is Secret,"$58,776","$58,776",100%,-,-
472,Extreme Movie,"$54,822",-,-,"$54,822",100%
473,Ugly Me 2008 Re-release,"$53,250","$53,250",100%,-,-
474,La forza del destino,"$52,577","$52,577",100%,-,-
475,Dare Not Walk Alone,"$52,166","$52,166",100%,-,-
476,"Surfer, Dude","$52,132","$52,132",100%,-,-
477,Gunnin' for That #1 Spot,"$50,950","$50,804",99.7%,$146,0.3%
478,"Tristan und Isolde, Azione in tre atti","$50,172","$50,172",100%,-,-
479,Afterschool,"$49,971","$3,911",7.8%,"$46,060",92.2%
480,Ciao,"$49,494","$49,494",100%,-,-
481,La Rondine,"$49,088","$49,088",100%,-,-
482,Box Elder,"$48,996","$48,996",100%,-,-
483,Breakfast with Scot,"$46,060","$46,060",100%,-,-
484,Undoing,"$44,999","$44,999",100%,-,-
485,What Doesn't Kill You,"$44,872",-,-,"$44,872",100%
486,The Babysitters,"$44,852","$44,852",100%,-,-
487,All Roads Lead Home,"$43,907","$43,907",100%,-,-
488,The Tracey Fragments,"$42,318","$32,645",77.1%,"$9,673",22.9%
489,Thomas Kinkade's Christmas Cottage,"$41,724",-,-,"$41,724",100%
490,The Betrayal,"$41,271","$41,271",100%,-,-
491,I Can't Think Straight,"$40,945","$39,576",96.7%,"$1,369",3.3%
492,Moving Midway,"$40,864","$40,864",100%,-,-
493,The Dhamma Brothers,"$40,492","$40,492",100%,-,-
494,Good Dick,"$39,924","$27,595",69.1%,"$12,329",30.9%
495,Loins of Punjab Presents,"$39,891","$39,891",100%,-,-
496,Refusenik,"$39,456","$39,456",100%,-,-
497,Familiar Strangers,"$34,068","$34,068",100%,-,-
498,Glass: A Portrait of Philip in Twelve Parts,"$32,089","$20,018",62.4%,"$12,071",37.6%
499,Kiss the Bride,"$32,033","$32,033",100%,-,-
500,The Pleasure of Being Robbed,"$31,823","$10,687",33.6%,"$21,136",66.4%
501,Hats Off,"$31,272","$31,272",100%,-,-
502,The Exiles,"$30,945","$30,945",100%,-,-
503,Fighting for Life,"$30,606","$30,606",100%,-,-
504,Walking on Dead Fish,"$30,328","$30,328",100%,-,-
505,Runaways,"$30,032","$27,908",92.9%,"$2,124",7.1%
506,Don Carlo,"$27,834","$27,834",100%,-,-
507,Frontrunners,"$26,976","$26,976",100%,-,-
508,The Dukes,"$26,875","$26,875",100%,-,-
509,Vivre Sa Vie,"$24,517","$24,517",100%,-,-
510,On Broadway,"$23,968","$23,968",100%,-,-
511,Diminished Capacity,"$23,719","$21,659",91.3%,"$2,060",8.7%
512,The World Unseen,"$23,101","$17,808",77.1%,"$5,293",22.9%
513,Lovesickness,"$22,000","$22,000",100%,-,-
514,Garden Party,"$21,886","$21,886",100%,-,-
515,The Matador,"$21,816","$21,816",100%,-,-
516,Antarctica,"$21,679","$21,679",100%,-,-
517,The Cry,"$21,427","$21,427",100%,-,-
518,Shoot the Piano Player,"$20,615","$20,615",100%,-,-
519,The First Basket,"$20,440","$20,440",100%,-,-
520,Trying to Get Good: The Jazz Odyssey of Jack Sheldon,"$19,712","$19,712",100%,-,-
521,Beauty in Trouble 2008 Re-release,"$19,300","$19,300",100%,-,-
522,Saving Marriage,"$18,720","$18,720",100%,-,-
523,"Live Fast, Die Young","$18,335","$18,335",100%,-,-
524,Dear Zachary: A Letter to a Son About His Father,"$18,334","$18,334",100%,-,-
525,Baby Blues,"$17,234","$17,234",100%,-,-
526,Noise,"$16,934","$16,513",97.5%,$421,2.5%
527,Dark Streets,"$16,815","$16,815",100%,-,-
528,Holding Trevor,"$16,814","$16,814",100%,-,-
529,Day Zero,"$16,659","$16,659",100%,-,-
530,Red,"$15,617","$4,643",29.7%,"$10,974",70.3%
531,Eden,"$15,611","$15,611",100%,-,-
