Rank,Release Group,Worldwide,Domestic,%,Foreign,%
333,13 Tzameti,"$795,223","$121,390",15.3%,"$673,833",84.7%
334,Chronicle of an Escape,"$763,742","$2,370",0.3%,"$761,372",99.7%
335,Another Gay Movie,"$745,327","$654,132",87.8%,"$91,195",12.2%
336,The King,"$740,210","$282,183",38.1%,"$458,027",61.9%
337,Deep Water,"$727,202","$271,143",37.3%,"$456,059",62.7%
338,Time,"$721,712","$16,070",2.2%,"$705,642",97.8%
339,49 Up,"$696,975","$241,772",34.7%,"$455,203",65.3%
340,Feast,"$688,854","$56,131",8.1%,"$632,723",91.9%
341,My First Wedding,"$666,154","$14,982",2.2%,"$651,172",97.8%
342,The Oh in Ohio,"$648,183","$418,689",64.6%,"$229,494",35.4%
343,Sleeping Dogs Lie,"$638,627","$15,745",2.5%,"$622,882",97.5%
344,Wassup Rockers,"$634,074","$221,574",34.9%,"$412,500",65.1%
345,Summer of '04,"$632,017","$20,474",3.2%,"$611,543",96.8%
346,Sherrybaby,"$622,806","$199,176",32%,"$423,630",68%
347,Klimt,"$584,991","$97,656",16.7%,"$487,335",83.3%
348,Viva Pedro!,"$579,539","$579,539",100%,-,-
349,Wondrous Oblivion 2006 Re-release,"$571,562","$88,560",15.5%,"$483,002",84.5%
350,Tideland,"$566,611","$66,453",11.7%,"$500,158",88.3%
351,12:08 East of Bucharest,"$523,703","$91,881",17.5%,"$431,822",82.5%
352,Shadowboxer,"$519,802","$370,627",71.3%,"$149,175",28.7%
353,Home of the Brave,"$499,620","$51,708",10.3%,"$447,912",89.7%
354,Color Me Kubrick,"$497,009","$71,190",14.3%,"$425,819",85.7%
355,Idiocracy,"$495,303","$444,093",89.7%,"$51,210",10.3%
356,Beyond the Gates 2006 Re-release,"$491,155","$40,848",8.3%,"$450,307",91.7%
357,Dynamite Warrior,"$483,737","$52,292",10.8%,"$431,445",89.2%
358,Beer League,"$472,185","$472,185",100%,-,-
359,Church Ball,"$464,991","$464,991",100%,-,-
360,The Second Chance,"$463,542","$463,542",100%,-,-
361,Romeo & Juliet: Sealed with a Kiss,"$463,002","$463,002",100%,-,-
362,London to Brighton,"$449,681","$6,700",1.5%,"$442,981",98.5%
363,The Heart of the Game,"$446,446","$445,374",99.8%,"$1,072",0.2%
364,As You Like It,"$442,515",-,-,"$442,515",100%
365,Offside,"$437,055","$180,530",41.3%,"$256,525",58.7%
366,The Devil and Daniel Johnston,"$432,339","$334,450",77.4%,"$97,889",22.6%
367,When Do We Eat?,"$431,513","$431,513",100%,-,-
368,Preaching to the Choir,"$405,191","$405,191",100%,-,-
369,Marilyn Hotchkiss' Ballroom Dancing & Charm School,"$404,870","$349,132",86.2%,"$55,738",13.8%
370,Flanders,"$402,252","$22,788",5.7%,"$379,464",94.3%
371,Times and Winds,"$387,396","$6,176",1.6%,"$381,220",98.4%
372,The Quiet,"$381,420","$381,420",100%,-,-
373,American Hardcore,"$376,057","$279,665",74.4%,"$96,392",25.6%
374,Five Fingers,"$352,089",-,-,"$352,089",100%
375,This Film Is Not Yet Rated,"$339,609","$306,845",90.4%,"$32,764",9.6%
376,Zinda,"$332,491","$332,491",100%,-,-
377,Shaadi Se Pehle,"$331,676","$111,678",33.7%,"$219,998",66.3%
378,Cheech,"$329,972","$329,972",100%,-,-
379,Deliver Us from Evil,"$327,205","$201,275",61.5%,"$125,930",38.5%
380,Steve Harvey: Don't Trip... He Ain't Through with Me Yet,"$319,021","$319,021",100%,-,-
381,Poison Friends,"$316,184","$13,665",4.3%,"$302,519",95.7%
382,Adam & Steve,"$309,404","$309,404",100%,-,-
383,Belle toujours,"$303,867","$10,921",3.6%,"$292,946",96.4%
384,Old Joy,"$301,047","$255,923",85%,"$45,124",15%
385,The Wedding Curse,"$300,454","$300,454",100%,-,-
386,Taxi No. 9 2 11: Nau Do Gyarah,"$292,794","$292,794",100%,-,-
387,Only Human 2006 Re-release,"$284,961","$284,961",100%,-,-
388,Dirty,"$274,245","$274,245",100%,-,-
389,The Rules of the Game,"$273,641","$273,641",100%,-,-
390,Fierce People,"$269,755","$85,410",31.7%,"$184,345",68.3%
391,Bubble,"$261,966","$145,626",55.6%,"$116,340",44.4%
392,Requiem 2006 Re-release,"$260,877","$9,600",3.7%,"$251,277",96.3%
393,The War Tapes,"$254,190","$254,190",100%,-,-
394,Love's Abiding Joy,"$252,726","$252,726",100%,-,-
395,Broken Bridges,"$252,539","$252,539",100%,-,-
396,Drawing Restraint 9,"$251,009","$234,743",93.5%,"$16,266",6.5%
397,Edmond,"$243,524","$131,719",54.1%,"$111,805",45.9%
398,Pyare Mohan,"$241,841","$150,198",62.1%,"$91,643",37.9%
399,Iraq in Fragments,"$240,888","$204,462",84.9%,"$36,426",15.1%
400,Black Gold,"$227,105","$93,477",41.2%,"$133,628",58.8%
401,Unidentified,"$224,099","$224,099",100%,-,-
402,The Genius Club,"$223,827",-,-,"$223,827",100%
403,The Death of Mr. Lazarescu,"$216,922","$80,301",37%,"$136,621",63%
404,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"$212,780","$144,601",68%,"$68,179",32%
405,The Journals of Knud Rasmussen,"$209,478","$209,478",100%,-,-
406,Tamara,"$206,871","$206,871",100%,-,-
407,The Bridge,"$205,724","$179,780",87.4%,"$25,944",12.6%
408,Glastonbury,"$202,041","$8,419",4.2%,"$193,622",95.8%
409,Haven,"$197,312","$142,483",72.2%,"$54,829",27.8%
410,The Puffy Chair,"$195,254","$194,523",99.6%,$731,0.4%
411,In the Pit,"$194,258","$10,433",5.4%,"$183,825",94.6%
412,Awesome; I Fuckin' Shot That!,"$177,683","$162,538",91.5%,"$15,145",8.5%
413,Lonesome Jim,"$174,815","$154,187",88.2%,"$20,628",11.8%
414,The Fallen Idol,"$173,566","$141,502",81.5%,"$32,064",18.5%
415,The Great New Wonderful,"$172,055","$150,142",87.3%,"$21,913",12.7%
416,Our Brand Is Crisis,"$166,750","$166,750",100%,-,-
417,Come Early Morning,"$161,408","$119,452",74%,"$41,956",26%
418,Broken Sky,"$160,445","$29,185",18.2%,"$131,260",81.8%
419,Cocaine Cowboys,"$160,347","$150,056",93.6%,"$10,291",6.4%
420,Mountain Patrol 2006 Re-release,"$159,460","$143,383",89.9%,"$16,077",10.1%
421,2005 Academy Award Nominated Short Films,"$157,415","$157,415",100%,-,-
422,Il ne faut jurer... de rien! 2006 Re-release,"$155,878","$23,442",15%,"$132,436",85%
423,El Topo,"$155,820","$80,302",51.5%,"$75,518",48.5%
424,The Mostly Unfabulous Social Life of Ethan Green,"$153,122","$153,122",100%,-,-
425,Jonestown: The Life and Death of Peoples Temple,"$148,292","$148,292",100%,-,-
426,A Soap,"$145,135","$4,164",2.9%,"$140,971",97.1%
427,10th & Wolf,"$143,451","$54,702",38.1%,"$88,749",61.9%
428,In Between Days,"$141,616","$23,465",16.6%,"$118,151",83.4%
429,Opal Dream,"$140,666","$14,443",10.3%,"$126,223",89.7%
430,What the Bleep!?: Down the Rabbit Hole,"$138,913","$138,913",100%,-,-
431,Lies and Alibis,"$138,704",-,-,"$138,704",100%
432,Stolen,"$132,596","$132,596",100%,-,-
433,Unknown White Male,"$131,256","$126,836",96.6%,"$4,420",3.4%
434,Karla,"$130,416",-,-,"$130,416",100%
435,Game 6,"$129,664","$129,664",100%,-,-
436,Flannel Pajamas,"$123,301","$123,301",100%,-,-
437,Mutual Appreciation,"$121,292","$103,509",85.3%,"$17,783",14.7%
438,I Am a Sex Addict,"$120,790","$115,694",95.8%,"$5,096",4.2%
439,Mongolian Ping Pong,"$119,732","$71,223",59.5%,"$48,509",40.5%
440,12 and Holding,"$119,195","$96,464",80.9%,"$22,731",19.1%
441,Sir! No Sir!,"$116,944","$116,944",100%,-,-
442,Winter Passing,"$113,783","$107,492",94.5%,"$6,291",5.5%
443,Captain Sabertooth 2006 Re-release,"$105,152","$105,152",100%,-,-
444,2 or 3 Things I Know About Her,"$104,038","$104,038",100%,-,-
445,The Real Dirt on Farmer John,"$103,714","$65,429",63.1%,"$38,285",36.9%
446,Al Franken: God Spoke,"$102,990","$102,990",100%,-,-
447,Mini's First Time,"$102,676","$49,034",47.8%,"$53,642",52.2%
448,Being Cyrus,"$100,184","$100,184",100%,-,-
449,Absolute Wilson,"$98,730","$66,217",67.1%,"$32,513",32.9%
450,Red Doors,"$97,848","$97,848",100%,-,-
451,Somersault 2006 Re-release,"$92,214","$92,214",100%,-,-
452,Beowulf & Grendel,"$92,076","$68,820",74.7%,"$23,256",25.3%
453,Anthony Kaun Hai?,"$88,420","$55,418",62.7%,"$33,002",37.3%
454,America: Freedom to Fascism,"$87,400","$87,400",100%,-,-
455,The Zodiac,"$86,872","$45,148",52%,"$41,724",48%
456,Color of the Cross,"$85,802","$85,802",100%,-,-
457,51 Birch Street,"$84,689","$84,689",100%,-,-
458,Mozart and the Whale,"$84,447","$36,006",42.6%,"$48,441",57.4%
459,Brothers of the Head,"$84,425","$45,082",53.4%,"$39,343",46.6%
460,Mannat,"$80,119","$53,589",66.9%,"$26,530",33.1%
461,Suits on the Loose,"$79,470","$79,470",100%,-,-
462,Unconscious,"$72,275","$68,501",94.8%,"$3,774",5.2%
463,Cavite,"$70,071","$70,071",100%,-,-
464,Close to Home,"$67,110","$20,931",31.2%,"$46,179",68.8%
465,D' Lucky Ones!,"$64,352","$64,352",100%,-,-
466,Vajra Sky Over Tibet,"$62,356","$62,356",100%,-,-
467,Poster Boy,"$62,062","$62,062",100%,-,-
468,Aurora Borealis,"$60,729","$60,729",100%,-,-
469,Pyaar Ke Side Effects,"$60,714","$30,230",49.8%,"$30,484",50.2%
470,Pandora's Box,"$57,472","$53,485",93.1%,"$3,987",6.9%
471,Man Push Cart,"$55,903","$36,608",65.5%,"$19,295",34.5%
472,That Man: Peter Berlin,"$55,398","$55,398",100%,-,-
473,Kalamazoo?,"$53,609","$53,609",100%,-,-
474,Plagues and Pleasures on the Salton Sea,"$53,471","$53,471",100%,-,-
475,Close to You,"$52,654","$52,654",100%,-,-
476,Screamers,"$52,034","$52,034",100%,-,-
477,The Strange Case of Dr. Jekyll and Mr. Hyde,"$51,721","$24,216",46.8%,"$27,505",53.2%
478,Moonlight,"$51,570","$51,570",100%,-,-
479,The Motel,"$51,540","$51,540",100%,-,-
480,Shakespeare Behind Bars,"$48,594","$48,594",100%,-,-
481,Sisters in Law,"$48,526","$33,312",68.6%,"$15,214",31.4%
482,Be with Me,"$48,443","$1,365",2.8%,"$47,078",97.2%
483,Two Weeks,"$47,986","$47,986",100%,-,-
484,Tibet: A Buddhist Trilogy,"$47,243","$47,243",100%,-,-
485,Azumi 2006 Re-release,"$41,803","$41,803",100%,-,-
486,Backstage,"$40,507","$12,663",31.3%,"$27,844",68.7%
487,Khosla's Nest,"$40,194","$26,472",65.9%,"$13,722",34.1%
488,Rape of the Soul,"$39,975","$39,975",100%,-,-
489,The Blossoming of Maximo Oliveros,"$38,691","$28,041",72.5%,"$10,650",27.5%
490,Eating Out 2: Sloppy Seconds,"$37,072","$37,072",100%,-,-
491,Monkey Warfare,"$36,875","$36,875",100%,-,-
492,Paper Dolls,"$36,577","$36,577",100%,-,-
493,Been Rich All My Life,"$36,406","$36,406",100%,-,-
494,Can Mr. Smith Get to Washington Anymore?,"$35,397","$35,397",100%,-,-
495,Swimmers,"$34,812","$34,812",100%,-,-
496,American Gun,"$34,138","$24,098",70.6%,"$10,040",29.4%
497,"My Country, My Country","$33,620","$33,620",100%,-,-
498,Loverboy 2006 Re-release,"$33,223","$33,223",100%,-,-
499,Fanfan la Tulipe,"$30,590","$30,590",100%,-,-
500,Take My Eyes 2006 Re-release,"$30,496","$30,496",100%,-,-
501,Standing Still,"$30,142","$30,142",100%,-,-
502,Henri Cartier-Bresson: The Impassioned Eye,"$29,710","$29,710",100%,-,-
503,Romántico,"$29,460","$29,460",100%,-,-
504,The PianoTuner of EarthQuakes,"$29,121","$29,121",100%,-,-
505,The Heart Is Deceitful Above All Things 2006 Re-release,"$29,058","$29,058",100%,-,-
506,Guys and Balls 2006 Re-release,"$28,324","$28,324",100%,-,-
507,Boys Briefs 4,"$27,449","$27,449",100%,-,-
508,Who Gets to Call It Art?,"$27,344","$27,344",100%,-,-
509,Iron Island,"$27,177","$27,177",100%,-,-
510,Abduction: The Megumi Yokota Story,"$26,859","$26,859",100%,-,-
511,Trudell,"$26,756","$26,756",100%,-,-
512,Through the Fire,"$25,752","$25,752",100%,-,-
513,Fuck,"$25,428","$22,359",87.9%,"$3,069",12.1%
514,Wrestling with Angels: Playwright Tony Kushner,"$24,729","$24,729",100%,-,-
515,Two Drifters,"$24,452","$24,452",100%,-,-
516,Off the Black,"$24,425","$24,425",100%,-,-
517,When the Sea Rises 2006 Re-release,"$24,038","$24,038",100%,-,-
518,Islam: What the West Needs to Know,"$22,938","$22,938",100%,-,-
519,Ambrose Bierce: Civil War Stories,"$22,918","$22,918",100%,-,-
520,Dead Fish,"$22,679",-,-,"$22,679",100%
521,Falcone,"$22,300","$22,300",100%,-,-
522,Giuliani Time,"$21,967","$21,967",100%,-,-
523,So Much So Fast,"$21,525","$21,525",100%,-,-
524,Yang Ban Xi: The 8 Modelworks,"$21,244","$21,244",100%,-,-
525,The Case of the Grinning Cat,"$20,944","$20,944",100%,-,-
526,Killer Diller,"$20,795","$20,795",100%,-,-
527,4,"$20,523","$20,523",100%,-,-
528,London,"$20,361","$20,361",100%,-,-
529,Words of My Perfect Teacher,"$20,318","$20,318",100%,-,-
530,State of Fear,"$20,055","$20,055",100%,-,-
531,The Ground Truth,"$20,013","$20,013",100%,-,-
532,Favela Rising,"$19,781","$19,781",100%,-,-
533,Invisible Waves,"$19,293",-,-,"$19,293",100%
534,Suicide Killers,"$18,239","$18,239",100%,-,-
535,Cruel World,"$17,986","$17,986",100%,-,-
536,20 Centimeters 2006 Re-release,"$17,632","$6,635",37.6%,"$10,997",62.4%
537,Film Geek,"$17,341","$17,341",100%,-,-
538,Ever Again,"$17,304","$17,304",100%,-,-
539,April's Shower,"$16,377","$16,377",100%,-,-
540,Captive,"$16,259","$16,259",100%,-,-
541,I Like Killing Flies,"$16,214","$16,214",100%,-,-
542,Matthew Barney: No Restraint,"$16,136","$16,136",100%,-,-
543,Land of the Blind,"$15,180","$5,244",34.5%,"$9,936",65.5%
544,Hannari: Geisha Modern,"$14,974","$14,974",100%,-,-
545,Shem,"$14,804","$14,804",100%,-,-
546,The Devil's Miner,"$14,289","$14,289",100%,-,-
547,The Architect,"$13,737","$13,737",100%,-,-
548,Who the #$&% Is Jackson Pollock?,"$13,710","$13,710",100%,-,-
549,One Last Thing...,"$13,334","$13,334",100%,-,-
550,The World According to Shorts,"$12,908","$12,908",100%,-,-
551,I Trust You to Kill Me,"$12,854","$12,854",100%,-,-
552,Christmas at Maxwell's,"$12,781","$12,781",100%,-,-
553,Autumn,"$12,655","$12,655",100%,-,-
554,"The Photographer, His Wife, Her Lover","$12,546","$12,546",100%,-,-
555,3 Needles,"$12,327",-,-,"$12,327",100%
556,Woman Is the Future of Man 2006 Re-release,"$11,807","$11,807",100%,-,-
557,Dead Man's Shoes 2006 Re-release,"$11,777","$6,408",54.4%,"$5,369",45.6%
558,Waltzing Anna,"$11,455","$11,455",100%,-,-
559,Live Freaky Die Freaky,"$11,290","$11,290",100%,-,-
560,The Conrad Boys,"$11,001","$11,001",100%,-,-
561,White Rainbow,"$10,529","$10,529",100%,-,-
562,Forgiving Dr. Mengele,"$10,403","$10,403",100%,-,-
563,...So Goes the Nation,"$10,337","$10,337",100%,-,-
564,Zindaggi Rocks,"$10,172","$10,172",100%,-,-
565,Sólo con tu pareja,"$9,915","$9,915",100%,-,-
566,Blackballed: The Bobby Dukes Story,"$9,528","$9,528",100%,-,-
567,Crazy Like a Fox,"$9,376","$9,376",100%,-,-
568,Rolling Family 2006 Re-release,"$9,291","$9,291",100%,-,-
569,Illusion,"$9,261","$9,261",100%,-,-
570,Fall to Grace,"$8,043","$8,043",100%,-,-
571,Coastlines,"$7,883","$7,883",100%,-,-
572,Zerophilia,"$7,763","$7,763",100%,-,-
573,Kill Your Idols,"$7,753","$7,753",100%,-,-
574,El sueño del regreso,"$7,668","$7,668",100%,-,-
575,The Whore's Son,"$7,656","$7,656",100%,-,-
576,Masai: The Rain Warriors 2006 Re-release,"$7,650","$7,650",100%,-,-
577,loudQUIETloud: A Film About the Pixies,"$7,506","$7,506",100%,-,-
578,The Cult of the Suicide Bomber,"$7,451","$7,451",100%,-,-
579,Kettle of Fish,"$7,196","$7,196",100%,-,-
580,Saint of 9/11,"$7,137","$7,137",100%,-,-
581,"Sorry, Haters","$7,129","$7,129",100%,-,-
582,Mendy,"$7,123","$7,123",100%,-,-
583,We Go Way Back,"$6,529","$6,529",100%,-,-
584,Beyond Honor,"$6,437","$6,437",100%,-,-
585,Dreamland,"$6,383","$6,383",100%,-,-
586,Jailbait,"$5,741","$5,741",100%,-,-
587,Pizza,"$5,716","$5,716",100%,-,-
588,Unnatural & Accidental,"$5,420","$5,420",100%,-,-
589,Say Uncle,"$5,361","$5,361",100%,-,-
590,Hair High,"$5,342","$5,342",100%,-,-
591,Mouth to Mouth,"$5,318","$2,150",40.4%,"$3,168",59.6%
592,Room,"$5,228","$5,228",100%,-,-
593,King Leopold's Ghost,"$5,194","$5,194",100%,-,-
594,The Pusher Trilogy,"$4,815","$4,815",100%,-,-
595,50 Ways of Saying Fabulous,"$4,800","$4,800",100%,-,-
596,Street Fight,"$4,779","$4,779",100%,-,-
597,The Fall of Fujimori,"$4,630","$4,630",100%,-,-
598,The Dogwalker 2006 Re-release,"$4,604","$4,604",100%,-,-
599,The Tollbooth,"$4,546","$4,546",100%,-,-
600,Looking for Kitty,"$4,480","$4,480",100%,-,-
601,Cowboy del Amor,"$4,438","$4,438",100%,-,-
602,Coffee Date,"$4,412","$4,412",100%,-,-
603,Simon 2006 Re-release,"$4,055","$4,055",100%,-,-
604,Psychopathia Sexualis,"$4,012","$4,012",100%,-,-
605,Going Under,"$3,917","$3,917",100%,-,-
606,Shock to the System,"$3,768","$3,768",100%,-,-
607,Blossoms of Fire,"$3,365","$3,365",100%,-,-
608,Calvaire,"$3,260","$3,260",100%,-,-
609,95 Miles to Go,"$3,195","$3,195",100%,-,-
610,Four Eyed Monsters,"$3,135","$3,135",100%,-,-
611,Dog Lover's Symphony,"$2,968","$2,968",100%,-,-
612,Agnes and His Brothers 2006 Re-release,"$2,731","$2,731",100%,-,-
613,Out of Place: Memories of Edward Said,"$2,547","$2,547",100%,-,-
614,Herbie Hancock: Possibilities,"$2,493","$2,493",100%,-,-
615,Rank,"$2,485","$2,485",100%,-,-
616,The Big Question,"$2,248","$2,248",100%,-,-
617,Mirage,"$2,241","$2,241",100%,-,-
618,Workingman's Death,"$2,214","$2,214",100%,-,-
619,George Bush Goes to Heaven,"$2,192","$2,192",100%,-,-
620,The Tenants,"$2,010","$2,010",100%,-,-
621,The Surfer King,"$1,990","$1,990",100%,-,-
622,FAQs,"$1,967","$1,967",100%,-,-
623,Abominable,"$1,810","$1,810",100%,-,-
624,Power and Terror: Noam Chomsky in Our Times 2006 Re-release,"$1,703","$1,703",100%,-,-
625,Headspace,"$1,650","$1,650",100%,-,-
626,The Colour of Olives,"$1,169","$1,169",100%,-,-
627,The Ister,"$1,124","$1,124",100%,-,-
628,The Empire in Africa,"$1,088","$1,088",100%,-,-
629,The Trouble with Men and Women,$967,$967,100%,-,-
630,In Her Line of Fire,$884,$884,100%,-,-
631,Doing Time for Patsy Cline,$831,$831,100%,-,-
632,Issues,$783,$783,100%,-,-
633,Uncut,$762,$762,100%,-,-
634,A New Day in Old Sana'a,$737,$737,100%,-,-
635,Serum,$440,$440,100%,-,-
636,Zyzzyx Rd,$30,$30,100%,-,-
