Rank,Release Group,Worldwide,Domestic,%,Foreign,%
54,Digimon Adventure: Last Evolution Kizuna,"$3,989,892",-,-,"$3,989,892",100%
55,The Wretched,"$3,935,238","$1,814,193",46.1%,"$2,121,045",53.9%
56,Infidel,"$3,614,389","$3,614,389",100%,-,-
57,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
58,Samsam,"$3,311,093","$53,273",1.6%,"$3,257,820",98.4%
59,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
60,No Escape,"$3,258,462","$149,458",4.6%,"$3,109,004",95.4%
61,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
62,The Rental,"$2,894,793","$1,635,345",56.5%,"$1,259,448",43.5%
63,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$2,871,382","$2,258,000",78.6%,"$613,382",21.4%
64,Ava,"$2,657,900","$377,037",14.2%,"$2,280,863",85.8%
65,Words on Bathroom Walls,"$2,478,907","$2,478,907",100%,-,-
66,The Secret: Dare to Dream,"$2,423,478",-,-,"$2,423,478",100%
67,The King of Staten Island,"$2,080,275",-,-,"$2,080,275",100%
68,The High Note,"$2,029,462",-,-,"$2,029,462",100%
69,Hocus Pocus 2020 Re-release,"$1,925,000","$1,925,000",100%,-,-
70,Jurassic Park 2020 Re-release,"$1,896,545","$1,386,600",73.1%,"$509,945",26.9%
71,Made in Italy,"$1,858,824","$101,339",5.5%,"$1,757,485",94.5%
72,The War with Grandpa,"$1,651,376",-,-,"$1,651,376",100%
73,Relic,"$1,515,433","$1,047,083",69.1%,"$468,350",30.9%
74,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
75,The Outpost,"$1,369,175",-,-,"$1,369,175",100%
76,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
77,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,354,584","$198,352",14.6%,"$1,156,232",85.4%
78,The Assistant,"$1,338,220","$1,100,313",82.2%,"$237,907",17.8%
79,The Goonies 2020 Re-release,"$1,236,438","$825,000",66.7%,"$411,438",33.3%
80,The Perfect Candidate,"$1,229,580",-,-,"$1,229,580",100%
81,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
82,Misbehaviour,"$1,051,083",-,-,"$1,051,083",100%
83,Becky,"$1,045,873","$1,003,700",96%,"$42,173",4%
84,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
85,The Tax Collector,"$942,666","$942,666",100%,-,-
86,The Vigil,"$935,484",-,-,"$935,484",100%
87,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
88,Mafia Inc,"$889,863","$889,863",100%,-,-
89,Savage,"$826,631",-,-,"$826,631",100%
90,Cut Throat City,"$825,222","$816,188",98.9%,"$9,034",1.1%
91,Babyteeth,"$793,453","$4,507",0.6%,"$788,946",99.4%
92,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
93,Shortcut,"$702,902","$702,902",100%,-,-
94,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
95,Hope Gap,"$692,134","$104,732",15.1%,"$587,402",84.9%
96,Black Water: Abyss,"$628,683",-,-,"$628,683",100%
97,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
98,The Last Shift,"$587,605","$587,605",100%,-,-
99,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
100,Palm Springs,"$564,597","$164,000",29%,"$400,597",71%
101,Followed,"$548,608","$538,179",98.1%,"$10,429",1.9%
102,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
103,Once Were Brothers: Robbie Robertson and the Band,"$536,317","$449,561",83.8%,"$86,756",16.2%
104,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
105,Black Panther 2020 Re-release,"$513,326","$367,000",71.5%,"$146,326",28.5%
106,The Burnt Orange Heresy,"$499,391","$144,201",28.9%,"$355,190",71.1%
107,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
108,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
109,Alone,"$455,148","$428,111",94.1%,"$27,037",5.9%
110,Kajillionaire,"$453,705","$453,705",100%,-,-
111,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
112,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
113,Infamous,"$429,148","$429,148",100%,-,-
114,The Climb,"$413,161",-,-,"$413,161",100%
115,Back to the Future 2020 Re-release,"$407,977","$247,000",60.5%,"$160,977",39.5%
116,Tulsa,"$380,456","$380,456",100%,-,-
117,Possessor Uncut,"$366,355","$366,355",100%,-,-
118,Summerland,"$346,723","$58,498",16.9%,"$288,225",83.1%
119,She Dies Tomorrow,"$346,079","$346,079",100%,-,-
120,Burden,"$327,838","$139,270",42.5%,"$188,568",57.5%
121,Fatima,"$322,016",-,-,"$322,016",100%
122,Bohemian Rhapsody 2020 Re-release,"$308,715","$240,000",77.7%,"$68,715",22.3%
123,Gremlins 2020 Re-release,"$295,159","$295,000",99.9%,$159,<0.1%
124,Resistance,"$282,228","$7,464",2.6%,"$274,764",97.4%
125,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
126,The Nest,"$277,800","$135,163",48.7%,"$142,637",51.3%
127,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
128,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
129,Never Rarely Sometimes Always,"$265,808","$16,565",6.2%,"$249,243",93.8%
130,Archive,"$242,195","$139,593",57.6%,"$102,602",42.4%
131,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
132,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
133,The Trip to Greece,"$233,014","$8,340",3.6%,"$224,674",96.4%
134,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
135,The Secrets We Keep,"$217,744","$206,671",94.9%,"$11,073",5.1%
136,Tesla,"$211,083","$92,344",43.7%,"$118,739",56.3%
137,Save Yourselves!,"$206,610","$206,610",100%,-,-
138,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
139,The Call,"$188,117","$188,117",100%,-,-
140,Cruel Peter,"$163,925",-,-,"$163,925",100%
141,The Booksellers,"$156,502","$25,694",16.4%,"$130,808",83.6%
142,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
143,Irresistible,"$152,192",-,-,"$152,192",100%
144,We Summon the Darkness,"$151,479","$60,794",40.1%,"$90,685",59.9%
145,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
146,The Silencing,"$141,479","$100,746",71.2%,"$40,733",28.8%
147,Incitement,"$140,306","$140,306",100%,-,-
148,Most Wanted,"$138,000","$138,000",100%,-,-
149,Beneath Us,"$137,260","$137,260",100%,-,-
150,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
151,Only,"$125,603",-,-,"$125,603",100%
152,Shirley,"$124,318",-,-,"$124,318",100%
153,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
154,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
155,Sputnik,"$116,062","$18,853",16.2%,"$97,209",83.8%
156,Lucky Grandma,"$102,972","$102,000",99.1%,$972,0.9%
157,First Cow,"$101,068","$101,068",100%,-,-
158,Miss Juneteenth,"$100,947","$92,349",91.5%,"$8,598",8.5%
159,The Roads Not Taken,"$99,546","$3,518",3.5%,"$96,028",96.5%
160,First Lady,"$93,298","$93,298",100%,-,-
161,Young Ahmed Domestic,"$83,470","$21,291",25.5%,"$62,179",74.5%
162,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
163,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
164,How to Build a Girl,"$70,632","$70,632",100%,-,-
165,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
166,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
167,My Brothers' Crossing,"$58,605","$58,605",100%,-,-
168,Heaven,"$57,082","$57,082",100%,-,-
169,A Simple Wedding,"$54,415","$54,415",100%,-,-
170,Miss Fisher & the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
171,House of Cardin,"$50,659",-,-,"$50,659",100%
172,A Call to Spy,"$49,586","$49,586",100%,-,-
173,The Way I See It,"$49,030","$49,030",100%,-,-
174,VHYes,"$47,037","$47,037",100%,-,-
175,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
176,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
177,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
178,Three Christs,"$36,723","$36,723",100%,-,-
179,Tread,"$36,527","$36,527",100%,-,-
180,Waiting for Anya,"$36,404",-,-,"$36,404",100%
181,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
182,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
183,Rent-A-Pal,"$30,901","$30,901",100%,-,-
184,After Parkland,"$30,444","$30,444",100%,-,-
185,Olympic Dreams,"$29,450","$29,450",100%,-,-
186,Buffaloed,"$29,118","$29,118",100%,-,-
187,Abe,"$28,657",-,-,"$28,657",100%
188,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
189,José,"$26,563","$26,563",100%,-,-
190,Unsubscribe,"$25,488","$25,488",100%,-,-
191,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
192,Stage Mother,"$24,736",-,-,"$24,736",100%
193,Heart of Africa,"$24,139","$24,139",100%,-,-
194,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
195,Never Too Late,"$23,135",-,-,"$23,135",100%
196,Premature,"$23,071","$23,071",100%,-,-
197,L'Innocente,"$22,549","$22,549",100%,-,-
198,Lore,"$20,006","$20,006",100%,-,-
199,Foster Boy,"$19,873","$19,873",100%,-,-
200,Made in Hong Kong,"$17,843","$17,843",100%,-,-
201,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
202,Advocate,"$16,942","$16,942",100%,-,-
203,Centigrade,"$16,263","$16,263",100%,-,-
204,Straight Up,"$16,080","$16,080",100%,-,-
205,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
206,American Deep State,"$15,269","$15,269",100%,-,-
207,"I Was at Home, But...","$14,078","$14,078",100%,-,-
208,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
209,The Pale Door,"$12,374",-,-,"$12,374",100%
210,The Grizzlies,"$11,650","$11,650",100%,-,-
211,Powerbomb,"$11,319","$11,319",100%,-,-
212,Lost in America,"$11,301","$11,301",100%,-,-
213,Draupadi Unleashed,"$11,025","$11,025",100%,-,-
214,You Go to My Head,"$10,682","$10,682",100%,-,-
215,Guest Artist,"$10,017","$10,017",100%,-,-
216,Foosballers,"$9,966","$9,966",100%,-,-
217,Just One More Kiss,"$9,130","$9,130",100%,-,-
218,Inside the Rain,"$8,140","$8,140",100%,-,-
219,The Wave,"$8,101","$8,101",100%,-,-
220,I AM PATRICK,"$7,880",-,-,"$7,880",100%
221,Valley Girl,"$7,671",-,-,"$7,671",100%
222,What We Found,"$6,976","$6,976",100%,-,-
223,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
224,Dreaming Grand Avenue,"$6,726","$6,726",100%,-,-
225,Human Capital,"$6,596","$6,596",100%,-,-
226,Afterward,"$6,477","$6,477",100%,-,-
227,In the Life of Music,"$5,772","$5,772",100%,-,-
228,Sex and the Future,"$5,745","$5,745",100%,-,-
229,12 Hour Shift,"$5,319","$5,319",100%,-,-
230,Still Here,"$5,268","$5,268",100%,-,-
231,Lie Exposed,"$4,546","$4,546",100%,-,-
232,Find Your Voice,"$3,897","$3,897",100%,-,-
233,King's Gambit,"$3,816","$3,816",100%,-,-
234,The Trial of the Chicago 7,"$3,084",-,-,"$3,084",100%
235,Ottolenghi and the Cakes of Versailles,"$3,028","$3,028",100%,-,-
236,Moondance,"$2,371","$2,371",100%,-,-
237,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
238,Goldie,"$2,302","$2,302",100%,-,-
239,Gul Makai,"$2,035",-,-,"$2,035",100%
240,The Transcendents,"$1,953","$1,953",100%,-,-
241,Saint Maud,"$1,933",-,-,"$1,933",100%
242,Tar,"$1,885","$1,885",100%,-,-
243,The Fox Hunter,"$1,577","$1,577",100%,-,-
244,Fear Pharm,"$1,157","$1,157",100%,-,-
245,Hai Tang Hong,"$1,107","$1,107",100%,-,-
246,Greater 2020 Re-release,$527,$527,100%,-,-
247,Spaceship Earth,$362,-,-,$362,100%
